design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.28,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.03641764284825652,0.0329618345986258,0.03641764284825652,1.0,0.051223704334653106
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.29,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.000740592437190183,0.0006588724340568844,0.000740592437190183,1.0,0.001664015201139282
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.29,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.0331664526715577,0.030048831200612334,0.0331664526715577,1.0,0.04664553385080604
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.3,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0006238645888540749,0.000550135425261281,0.0006238645888540749,1.0,0.0016516728290114585
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.3,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.030252939206054732,0.02743475019960272,0.030252939206054732,1.0,0.042379061221572895
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.31,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.00048099210716196286,0.0004113777820477345,0.00048099210716196286,1.0,0.0019168154917149132
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.31,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.02753815401464073,0.024994475564989405,0.02753815401464073,1.0,0.03833215371196572
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.32,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0003725996187158937,0.0003112316412596102,0.0003725996187158937,1.0,0.00195590895860862
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.32,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.024873501485145534,0.02260654446433901,0.024873501485145534,1.0,0.03452767415336695
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.33,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.00033312278411971234,0.00027245907744786557,0.00033312278411971234,1.0,0.0019191180891235632
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.33,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.02237017251965291,0.020349042617513732,0.02237017251965291,1.0,0.031002879644845625
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.34,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0002980428148134035,0.0002392979299368345,0.0002980428148134035,1.0,0.00196103237552602
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.34,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.02006355379688762,0.01826819966105889,0.02006355379688762,1.0,0.02761098995326249
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.35,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0002859338012290904,0.00022838096288948888,0.0002859338012290904,1.0,0.002009888038364453
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.35,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.017769544404232406,0.016209124229039452,0.017769544404232406,1.0,0.024139397232959606
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.36,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.00025874959109956216,0.0002055994080170735,0.00025874959109956216,1.0,0.002014512792663213
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.36,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.01581430342216094,0.014453268836855283,0.01581430342216094,1.0,0.021422559188322032
